Message,Label,Code
"1. ""Dr. Smith, I just started my new medication and I'm experiencing some side effects. Can we discuss some potential adjustments or alternatives?""",Partnership,GPT
"2. ""Hi Dr. Brown, I received the test results from my latest check-up, but I'm not sure how to interpret them. Can you please help me understand their implications?""",Partnership,GPT
"3. ""Dr. Johnson, I have been feeling better since our last appointment. Should we consider reducing the dosage of my medication?""",Partnership,GPT
"4. ""Hi Dr. Lee, I have some questions about the upcoming surgery you mentioned. Can we schedule a call to discuss it in more detail?""",Partnership,GPT
"5. ""Dr. Patel, I just read an article about a new treatment for my condition. Can we discuss if it's suitable for me during our next appointment?""",Partnership,GPT
"6. ""Hi Dr. Davis, my daughter will be accompanying me to my next appointment. Can you please provide her with some background on my condition so she can better understand my treatment plan?""",Partnership,GPT
"7. ""Dr. Taylor, I just received the bill for my recent visit and I noticed a discrepancy. Can you please have someone from the billing department contact me to resolve this issue?""",Partnership,GPT
"8. ""Hi Dr. Anderson, I have been experiencing some new symptoms recently. Can we discuss them and decide if any changes to my treatment plan are necessary?""",Partnership,GPT
"9. ""Dr. Thomas, I have an upcoming appointment with another specialist. Can you please coordinate with their office to ensure they have all the necessary information about my medical history?""",Partnership,GPT
"10. ""Hi Dr. Jackson, my pharmacist mentioned a potential interaction between my medications. Can you please review my prescriptions and let me know if any adjustments need to be made?""",Partnership,GPT
"11. ""Dr. White, I would like to explore alternative treatment options for my condition. Can we discuss the pros and cons of each during our next appointment?""",Partnership,GPT
"12. ""Hi Dr. Harris, I recently had a consultation with another healthcare provider who recommended some lifestyle changes. Can you please review their suggestions and provide your input?""",Partnership,GPT
"13. ""Dr. Martin, I have a friend who was recently diagnosed with the same condition as me. Can you recommend any support groups or resources we can both utilize?""",Partnership,GPT
"14. ""Hi Dr. Thompson, I have been feeling more fatigued than usual lately. Can we discuss potential causes and solutions during our next appointment?""",Partnership,GPT
"15. ""Dr. Garcia, I want to better understand the long-term implications of my condition. Can we schedule a time to discuss this in more detail?""",Partnership,GPT
"16. ""Hi Dr. Martinez, I am interested in getting a second opinion on my diagnosis. Can you please recommend another specialist and coordinate with their office to share my medical records?""",Partnership,GPT
"17. ""Dr. Robinson, my insurance plan has changed, and I want to make sure that my treatments will still be covered. Can you please have someone from your office verify this information for me?""",Partnership,GPT
"18. ""Hi Dr. Clark, I recently had a test done at another facility. Can you please review the results and let me know if there are any concerns?""",Partnership,GPT
"19. ""Dr. Rodriguez, I would like to include my spouse in my medical decision-making process. Can you please provide them with the necessary information to help me make informed choices?""",Partnership,GPT
"20. ""Hi Dr. Lewis, I have been experiencing some difficulties with the patient portal. Can you please have someone from your office assist me in resolving these issues?""",Partnership,GPT
"21. ""Dr. Lee, I'm planning a vacation and want to ensure I have enough medication for the trip. Can you please help me coordinate the necessary refills?""",Partnership,GPT
"22. ""Hi Dr. Walker, my current medication isn't providing the desired relief. Can we discuss other options during our next",Partnership,GPT
"1. ""Dear Dr. Smith, I've been feeling a bit overwhelmed lately with all the changes in my life. I wanted to check in with you to see if there are any recommendations you have to help me cope during this time. I appreciate your support and understanding.""",Emotion,GPT
"2. ""Hello Dr. Adams, I'm writing to ask if there is any additional support or resources available for my mother, who has been struggling with her recent diagnosis. We are trying to stay positive, but it's been challenging. Thank you for your continued care.""",Emotion,GPT
"3. ""Dear Dr. Lee, I've been experiencing increased anxiety due to my recent medical issues. Can you please provide guidance on how I can manage this anxiety, as well as any referrals to mental health professionals who may be able to help me? Thank you.""",Emotion,GPT
"4. ""Hi Dr. Johnson, my son has been having trouble adjusting to his new school, and I'm concerned about his emotional well-being. I would appreciate any advice or resources you can provide to help us support him through this transition. Thank you.""",Emotion,GPT
"5. ""Dear Dr. Davis, I hope this message finds you well. My father has been feeling increasingly isolated since his recent hospitalization. I wanted to inquire about any support groups or resources you could recommend to help him cope. Thank you.""",Emotion,GPT
"6. ""Hello Dr. Green, I've been feeling a bit down and stressed lately due to my current health situation. I'm hoping you might have some suggestions on how to improve my emotional well-being during this time. Your guidance is greatly appreciated.""",Emotion,GPT
"7. ""Dear Dr. Patel, my sister has been experiencing a lot of anxiety due to her health condition. Can you please provide any recommendations for therapists or support groups that she could benefit from? Thank you for your understanding and care.""",Emotion,GPT
"8. ""Hi Dr. Thompson, I hope you're doing well. I've been struggling with feelings of depression and loneliness since my diagnosis. I would appreciate any advice or resources you can offer to help me cope during this difficult time. Thank you.""",Emotion,GPT
"9. ""Dear Dr. Kim, I've been feeling overwhelmed with the new medications I need to take and managing my symptoms. I was wondering if there are any support groups or resources you can recommend to help me navigate this challenging period. Thank you.""",Emotion,GPT
"10. ""Hello Dr. Williams, my spouse has been having a difficult time adjusting to the new changes in our lives due to their health condition. I wanted to reach out to see if you have any suggestions on how we can better support them emotionally. Thank you.""",Emotion,GPT
"11. ""Dear Dr. Brown, my recent medical diagnosis has left me feeling quite anxious and unsure about the future. I would greatly appreciate any guidance or recommendations you can provide to help me manage these emotions. Thank you for your support.""",Emotion,GPT
"12. ""Hi Dr. Anderson, I'm reaching out because I've been feeling quite overwhelmed and stressed due to my current health situation. I would be grateful for any advice or resources you can provide to help me cope during this challenging time. Thank you.""",Emotion,GPT
"13. ""Dear Dr. Martin, I hope this message finds you well. My brother has been struggling emotionally since his recent diagnosis, and I wanted to inquire about any support groups or resources you could recommend to help him cope. Thank you.""",Emotion,GPT
"14. ""Hello Dr. Taylor, I've been experiencing increased anxiety due to my recent health issues, and I'm hoping you might have some suggestions on how to manage this anxiety. Your guidance would be greatly appreciated. Thank you.""",Emotion,GPT
"15. ""Dear Dr. Harris, my daughter has been having trouble adjusting to her new medication regimen, and I'm concerned about her emotional well-being. I would appreciate any advice or resources you can provide to help us support her through this transition.",Emotion,GPT
"41. ""Dear Dr. Johnson, I've been experiencing increased anxiety since my recent diagnosis, and it's affecting my daily life. Can you recommend any coping strategies or resources to help me manage my anxiety? Your support means so much to me. Thank you.""",Emotion,GPT
"42. ""Hi Dr. Smith, my father recently underwent surgery, and his recovery is taking longer than expected. He is feeling down and discouraged. Can you please provide some words of encouragement or advice to help him stay positive during this challenging time? We appreciate your care and expertise.""",Emotion,GPT
"43. ""Dr. Thompson, my child is scheduled for a dental procedure next week, and they are very nervous about it. Can you please provide some tips on how to help them stay calm and comfortable during the appointment? Your guidance is greatly appreciated.""",Emotion,GPT
"44. ""Hello Dr. Lee, my wife has been struggling with insomnia lately due to stress at work. Are there any relaxation techniques or sleep aids you can recommend to help her get a good night's rest? Your advice would mean a lot to both of us.""",Emotion,GPT
